1	9	9
2	11	52
2	11	51
1	9	7
2	11	50
1	9	8
1	9	5
2	11	45
2	10	55
1	9	6
2	11	44
2	10	54
1	9	3
2	10	53
1	9	4
2	10	52
2	11	49
1	9	1
1	9	2
2	11	48
2	10	58
2	11	47
2	10	57
2	11	46
2	10	56
1	8	8
2	12	53
1	8	9
2	12	52
1	8	6
2	12	51
1	8	7
2	12	50
1	8	4
2	12	46
2	11	56
1	8	5
2	12	45
2	11	55
1	8	2
2	12	44
2	11	54
1	8	3
2	11	53
2	12	49
1	8	1
2	12	48
2	11	58
2	12	47
2	11	57
1	7	9
1	7	7
1	7	8
1	7	5
1	7	6
1	7	3
1	7	4
1	7	1
1	7	2
1	6	8
1	6	9
1	6	6
2	10	51
1	6	7
2	10	50
1	6	4
1	6	5
2	10	49
1	6	2
2	10	44
1	6	3
1	6	1
2	10	48
2	10	47
2	10	46
2	10	45
1	5	9
1	5	7
1	5	8
1	5	5
1	5	6
1	5	3
1	5	4
1	5	1
1	5	2
1	4	8
1	4	9
1	4	6
1	4	7
1	4	4
1	4	5
1	4	2
1	4	3
1	4	1
1	3	7
1	3	8
1	3	5
1	3	6
1	3	3
1	3	4
1	3	1
1	3	2
3	11	20
3	10	30
1	3	9
3	10	25
3	10	24
3	11	17
3	10	27
3	11	16
3	10	26
3	10	21
3	10	20
3	10	23
3	10	22
3	11	19
3	10	29
3	11	18
3	10	28
1	2	6
1	2	7
1	2	4
1	2	5
1	2	2
1	2	3
1	2	1
1	2	8
1	2	9
3	10	16
3	10	18
3	10	17
3	10	19
1	1	5
1	1	6
1	1	3
1	1	4
1	1	1
1	1	2
4	9	10
4	9	11
4	9	12
4	9	13
4	9	14
1	1	9
4	9	15
1	1	7
1	1	8
4	8	10
5	1	22
5	2	13
4	8	11
5	1	23
4	8	12
5	1	20
4	8	13
5	1	21
4	8	14
4	8	15
5	1	19
5	1	17
5	1	18
5	1	15
5	1	16
5	1	13
5	1	14
4	7	10
4	7	11
4	7	12
4	7	13
4	7	14
4	7	15
4	6	10
4	6	11
4	6	12
4	6	13
4	6	14
4	6	15
5	3	71
5	4	61
4	35	13
5	5	51
5	6	41
5	7	31
5	8	21
5	2	81
5	5	52
5	4	62
4	35	12
5	6	42
5	7	32
5	8	22
5	2	82
5	3	72
5	3	70
5	4	60
5	5	50
5	6	40
5	7	30
5	8	20
5	2	80
5	4	69
5	5	59
5	6	49
5	7	39
5	8	29
5	3	79
5	4	67
5	5	57
5	2	87
5	6	47
5	7	37
5	8	27
5	3	77
5	4	68
5	5	58
5	6	48
5	7	38
5	8	28
5	3	78
5	4	65
5	5	55
5	6	45
5	7	35
5	8	25
5	2	85
5	3	75
5	4	66
5	5	56
5	6	46
5	7	36
5	8	26
5	2	86
5	3	76
5	4	63
5	5	53
5	6	43
5	7	33
5	8	23
5	2	83
5	3	73
5	8	24
5	4	64
5	5	54
5	6	44
4	1	10
5	7	34
5	2	84
5	3	74
6	42	10
6	40	30
6	41	20
6	42	11
6	40	31
6	41	21
6	42	12
6	40	32
6	41	22
6	42	13
6	40	33
6	41	23
6	42	14
6	40	34
6	41	24
6	42	15
6	40	35
6	41	25
6	42	16
6	40	36
6	41	26
6	42	17
